Niveaukop,Uur,datum,minuut,ernong,N_Slacht_dood,N_Slacht_Zh,Aardong,loctypon,X,Y,N_Personenauto,N_Brom_snorfiets,N_Fiets,N_Voetganger
Ongeval gekoppeld op straat niveau,19.00-19.59,13FEB06,20,Letsel,0,0,Vast voorwerp,Wegvak,130054.723,549661.49,1,0,1,0
Ongeval exact gekoppeld aan BN,12.00-12.59,05FEB06,12,Letsel,0,0,Vast voorwerp,Kruispunt,28621,386750,1,0,0,0
Ongeval exact gekoppeld aan BN,15.00-15.59,16FEB06,37,Letsel,0,0,Flank,Kruispunt,160862,373974,1,0,1,0
Ongeval exact gekoppeld aan BN,14.00-14.59,27FEB06,54,Letsel,0,0,Flank,Kruispunt,77219,426635,1,1,0,0
Ongeval exact gekoppeld aan BN,18.00-18.59,23FEB06,13,Letsel,0,0,Eenzijdig,Kruispunt,77030,393393,1,0,0,0
Ongeval gekoppeld op straat niveau,12.00-12.59,28FEB06,53,Letsel,0,0,Vast voorwerp,Wegvak,213942.293,476321,0,0,0,0
Ongeval exact gekoppeld aan BN,14.00-14.59,17FEB06,5,Letsel,0,0,Flank,Wegvak,181196.5,580584,0,2,0,0
Ongeval exact gekoppeld aan BN,14.00-14.59,26FEB06,42,Letsel,0,0,Kop/staart,Kruispunt,207705,476114,2,0,0,0
Ongeval exact gekoppeld aan BN,16.00-16.59,22FEB06,20,Letsel,0,0,Kop/staart,Kruispunt,112180,491134,1,1,0,0
Ongeval exact gekoppeld aan BN,13.00-13.59,05FEB06,40,Letsel,0,0,Frontaal,Kruispunt,119786.863,479388.724,0,1,1,0
Ongeval exact gekoppeld aan BN,19.00-19.59,27FEB06,40,Letsel,0,0,Flank,Kruispunt,196045,320319,1,0,0,0
Ongeval exact gekoppeld aan BN,5.00-05.59,06MAR06,23,Letsel,0,1,Eenzijdig,Wegvak,158467.185,471845.446,1,0,0,0
Ongeval exact gekoppeld aan BN,8.00-08.59,01MAR06,45,Letsel,0,0,Eenzijdig,Kruispunt,78493,452158,0,0,1,0
Ongeval exact gekoppeld aan BN,18.00-18.59,04MAR06,15,Letsel,0,1,Vast voorwerp,Wegvak,183251.017,566710.314,1,0,0,0
Ongeval exact gekoppeld aan BN,15.00-15.59,15MAR06,0,Letsel,0,0,Kop/staart,Wegvak,209785.372,461971.176,1,0,0,0
Ongeval exact gekoppeld aan BN,13.00-13.59,25FEB06,49,Letsel,0,0,Geparkeerd,Wegvak,79644,453870,2,0,0,0
Ongeval exact gekoppeld aan BN,0.00-00.59,27FEB06,5,Letsel,0,0,Eenzijdig,Kruispunt,168144,432923,0,1,0,0
Ongeval exact gekoppeld aan BN,8.00-08.59,07MAR06,23,Letsel,0,0,Eenzijdig,Wegvak,62342.548,367595.243,1,0,0,0
Ongeval exact gekoppeld aan BN,13.00-13.59,07MAR06,16,Letsel,0,0,Kop/staart,Wegvak,116456.583,496505.933,2,0,0,0
Ongeval exact gekoppeld aan BN,18.00-18.59,10FEB06,43,Letsel,0,0,Flank,Kruispunt,112678,497600,1,1,0,0
Ongeval exact gekoppeld aan BN,8.00-08.59,09MAR06,0,Letsel,0,0,Flank,Kruispunt,117996.035,493571.805,1,0,0,0
Ongeval exact gekoppeld aan BN,8.00-08.59,02MAR06,39,Letsel,0,0,Vast voorwerp,Wegvak,219557.523,480664.959,1,0,0,0
Ongeval exact gekoppeld aan BN,8.00-08.59,07MAR06,12,Letsel,0,0,Flank,Kruispunt,205968,488953,1,0,1,0
Ongeval exact gekoppeld aan BN,9.00-09.59,06MAR06,12,Letsel,0,0,Vast voorwerp,Kruispunt,180025,390039,1,0,0,0
Ongeval exact gekoppeld aan BN,20.00-20.59,04MAR06,41,Letsel,0,0,Kop/staart,Kruispunt,182584,386788,2,0,0,0
Ongeval exact gekoppeld aan BN,15.00-15.59,02MAR06,23,Letsel,0,0,Flank,Kruispunt,93889,464001,0,0,2,0
Ongeval exact gekoppeld aan BN,10.00-10.59,02MAR06,36,Letsel,0,0,Geparkeerd,Kruispunt,93715,464304,1,1,0,0
Ongeval exact gekoppeld aan BN,11.00-11.59,17FEB06,6,Letsel,0,0,Flank,Kruispunt,94285,463399,1,0,1,0
Ongeval exact gekoppeld aan BN,17.00-17.59,27FEB06,7,Letsel,0,0,Voetganger,Kruispunt,93926.411,463346.51,1,0,0,1
